m/z	I	
675.0856	975	
675.2284	900	
675.3722	664	
675.5157	507	
675.6588	293	
676.3300	147	
676.4212	183	
676.5782	407	
676.7539	425	
676.8366	113	
676.9216	216	
677.0967	3314	
677.2560	118	
677.5975	663	
678.0982	1017	
678.5945	158	
678.7195	131	
679.0981	284	
679.1266	445	
679.4302	241	
679.5342	296	
679.6461	607	
679.7577	1295	
679.8685	885	
679.9800	735	
680.0921	558	
680.1296	146	
680.2020	318	
680.3168	142	
680.5790	142	
681.0536	1476	
681.3132	726	
681.4233	1836	
681.5348	2897	
681.6452	2752	
681.7578	2320	
681.8682	1813	
681.9792	815	
682.0576	404	
682.0893	658	
682.2016	133	
682.3133	102	
682.5634	290	
683.1000	555	
683.2830	150	
683.4803	188	
683.5383	260	
683.6475	156	
683.6812	139	
683.7562	245	
683.8721	328	
683.9817	728	
684.0912	2164	
684.2036	1620	
684.3143	1618	
684.4259	1245	
684.5372	743	
684.6476	427	
684.7598	336	
685.0334	130	
685.0871	332	
685.5674	322	
686.0691	240	
686.1036	548	
686.6006	509	
687.0461	424	
687.0727	364	
687.3238	172	
687.5842	368	
687.8336	296	
688.0348	113	
688.0841	270	
688.3354	135	
689.0133	217	
689.1022	2392	
689.7657	124	
690.1052	779	
690.2224	136	
690.4333	201	
690.5401	517	
690.6525	815	
690.7636	966	
690.8753	732	
690.9853	422	
691.0992	413	
691.2091	170	
691.5404	107	
691.5753	198	
691.6520	394	
691.7619	740	
691.8252	133	
691.8738	459	
691.9845	598	
692.0943	477	
692.2093	283	
692.3267	120	
693.0739	381	
694.0788	575	
694.2067	123	
694.3175	271	
694.4251	395	
694.5392	228	
694.5771	333	
694.6511	218	
694.7517	145	
695.1042	1683	
695.2239	1333	
695.3501	2456	
695.4184	163	
695.4749	3474	
695.6005	3022	
695.6564	110	
695.7260	2485	
695.8509	1528	
695.9794	828	
696.0989	1743	
696.2095	1590	
696.3180	19249	
696.4293	59787	
696.5407	97315	
696.6520	93748	
696.7633	80660	
696.8746	58386	
696.9858	32150	
697.0473	755	
697.0974	15895	
697.2081	5738	
697.3199	1955	
697.3871	775	
697.4303	981	
697.4676	240	
697.5392	624	
697.6656	270	
697.7173	171	
697.7630	233	
697.8158	280	
697.8835	145	
697.9317	181	
697.9593	136	
698.0007	163	
698.0648	420	
698.1265	114	
