m/z	I	
996.7984	148	
997.1311	892	
998.1347	290	
999.1376	168	
1000.1350	224	
1000.6355	142	
1000.8041	106	
1001.1360	153	
1001.4604	144	
1001.6372	180	
1001.7926	107	
1002.1280	384	
1002.6390	335	
1003.1396	686	
1003.6398	442	
1004.1391	328	
1006.1454	411	
1007.0858	177	
1007.1486	194	
1009.1469	554	
1010.0672	197	
1010.1476	287	
1010.6423	349	
1011.1416	458	
1011.6421	252	
1012.1440	323	
1013.1471	146	
1014.1580	559	
1015.1438	284	
1016.1433	195	
1019.6460	137	
1020.1469	123	
1022.1551	110	
1024.1569	451	
1025.1572	189	
1026.1521	206	
1026.6493	126	
1027.1577	225	
1030.1574	411	
1031.1570	141	
1034.1224	112	
1035.1516	196	
1035.6531	163	
1036.1499	142	
1040.0994	572	
1041.1017	264	
1042.1029	145	
1046.1449	264	
1046.6464	231	
1047.1494	113	
1048.0765	235	
1048.1673	462	
1049.1658	159	
1055.1616	174	
1056.9027	103	
1058.1007	137	
1059.0835	101	
1061.1518	100	
1064.1016	118	
1068.1475	155	
1068.8283	115	
1071.1017	176	
1074.8329	144	
1075.1645	156	
1077.0977	121	
1078.0975	100	
1080.4930	110	
1080.8311	168	
1081.1639	284	
1081.4993	203	
1082.1660	102	
1083.1637	108	
1086.1536	372	
1086.4974	131	
1086.8304	154	
1087.1615	277	
1088.1600	110	
1089.1149	113	
1101.1584	137	
1102.1570	153	
1102.6796	205	
1103.1775	140	
1104.6717	248	
1105.1715	185	
1106.1770	231	
1107.1581	159	
1108.1621	130	
1110.1259	148	
1111.6823	106	
1112.1853	111	
1113.6752	101	
1116.6707	169	
1117.1732	143	
1121.6690	286	
1122.1711	264	
1122.6748	120	
1123.1739	106	
1124.1890	176	
1125.1785	197	
1125.6792	117	
1126.1766	205	
1130.6747	246	
1131.1798	212	
1131.6761	121	
1136.6843	102	
1150.6567	101	
1151.1601	121	
1152.1698	126	
1161.6539	119	
1162.1562	127	
1170.6606	112	
1171.1642	113	
1194.1947	100	
1205.1454	118	
1208.2288	130	
1212.2042	193	
1213.1758	323	
1214.1764	222	
1219.1902	186	
1220.6780	111	
1221.1847	107	
1223.2240	385	
1224.2257	313	
1225.2238	110	
1230.2170	138	
1236.2169	155	
1237.2024	1136	
1238.2053	522	
1239.2077	255	
1241.2332	323	
1242.2352	178	
1254.2258	118	
1255.2150	426	
1256.2178	203	
1257.2263	117	
1258.2194	119	
1274.1656	120	
1275.2394	283	
1276.2295	303	
1277.2327	145	
1288.1991	131	
1292.1747	221	
1293.1727	165	
1293.2502	228	
1294.2392	223	
1295.2373	139	
1296.2047	233	
1296.7058	294	
1297.2043	124	
1298.1782	117	
1299.1597	300	
1300.1612	127	
1315.1347	193	
1316.1852	167	
1317.1702	452	
1318.1735	194	
1335.1782	122	
1336.1876	112	
1337.1928	260	
1338.1880	194	
1355.2068	234	
1356.1996	246	
1357.1998	131	
1373.2124	104
