m/z	I	
1838.0220	2511	
1838.1645	2399	
1838.3093	2596	
1838.4516	2127	
1907.3296	2088	
1926.6809	2139	
1946.0316	2100	
1965.3822	2262	
1965.7167	2007	
1984.3034	2313	
1984.6374	2173	
1984.7332	2238	
1985.0675	2086	
2003.3208	2781	
2003.6548	3499	
2003.9882	3552	
2004.0841	2108	
2004.3226	2769	
2022.6714	3605	
2023.0056	4614	
2023.3396	4437	
2023.6735	3538	
2024.0068	2325	
2042.0225	3732	
2042.3565	4787	
2042.6903	4580	
2043.0239	3830	
2043.3580	2768	
2056.6133	3820	
2056.9463	7869	
2057.2798	11268	
2057.6138	10920	
2057.9478	8662	
2058.2818	5671	
2058.6165	3576	
2058.9518	2208	
2061.3735	3712	
2061.7075	4706	
2062.0416	4534	
2062.3751	3556	
2062.7085	2696	
2074.3382	2234	
2074.6719	2227	
2075.6383	2298	
2075.9635	13624	
2076.2972	28334	
2076.6306	40395	
2076.9647	39439	
2077.2985	31325	
2077.6324	22759	
2077.9668	13370	
2078.3022	7309	
2078.6385	4216	
2078.9770	2608	
2080.7245	3485	
2081.0585	4530	
2081.3921	4371	
2081.7259	3553	
2082.0589	2627	
2083.9851	2084	
2089.6486	2027	
2089.9863	2618	
2090.3220	3521	
2090.6557	4754	
2090.9901	5045	
2091.3232	4312	
2091.6573	3366	
2091.9920	2291	
2093.6881	2472	
2094.0220	2417	
2094.3526	2140	
2094.6579	2672	
2094.9863	4983	
2095.3143	29844	
2095.6479	67816	
2095.9819	93605	
2096.3156	95704	
2096.6497	79373	
2096.9837	51831	
2097.3176	32831	
2097.6523	18443	
2097.9878	9713	
2098.3247	5777	
2098.6627	3564	
2099.0005	2213	
2100.0747	3227	
2100.4090	4392	
2100.7429	4015	
2100.9813	2916	
2101.0764	3638	
2101.3134	3822	
2101.4092	2629	
2101.6468	3979	
2101.9825	3304	
2102.3180	2711	
2102.6559	2799	
2102.9924	3115	
2103.3253	3681	
2103.6612	3527	
2103.9955	2778	
2105.6615	2018	
2105.9940	2429	
2108.3272	2522	
2108.6620	3388	
2108.9963	3374	
2109.3346	4407	
2109.6706	6835	
2110.0049	9126	
2110.3395	10375	
2110.6734	9009	
2111.0066	6993	
2111.3410	4948	
2111.6742	3171	
2112.0106	2001	
2112.6973	2244	
2113.0334	2838	
2113.3663	2691	
2113.6926	2117	
2114.0048	4801	
2114.3361	8637	
2114.6651	50943	
2114.9989	113649	
2115.3327	161340	
2115.5004	3329	
2115.6666	156908	
2115.8344	3320	
2116.0004	129717	
2116.1680	2812	
2116.3346	93652	
2116.6687	54200	
2117.0030	31628	
2117.3383	16993	
2117.6745	9384	
2118.0111	5489	
2118.3481	3389	
2118.6836	2001	
2119.4257	3214	
2119.7596	4115	
2120.0017	3063	
2120.0937	4300	
2120.3324	4984	
2120.4275	3433	
2120.6651	6776	
2120.7588	2473	
2120.9984	6549	
2121.3320	6032	
2121.6669	5041	
2122.0014	4920	
2122.3379	5742	
2122.6728	6499	
2123.0062	6195	
2123.3402	4649	
2123.6756	3385	
2124.0124	2305	
2124.3503	2033	
2124.6803	2699	
2124.8413	2131	
2125.0118	4242	
2125.1750	3787	
2125.3451	4816	
2125.5097	3827	
2125.6785	3984	
2125.8433	2493	
2126.0121	2633	
2127.6760	3529	
2128.0098	4702	
2128.3450	5238	
2128.6832	5864	
2129.0201	9390	
2129.3551	13486	
2129.6892	16256	
2130.0234	14609	
2130.3570	11311	
2130.6907	8028	
2131.0243	5182	
2131.3590	3076	
2131.6985	2181	
2132.0352	2387	
2132.1867	2180	
2132.3687	3010	
2132.5202	2719	
2132.7037	3079	
2132.8546	2262	
2133.0328	3056	
2133.3550	6758	
2133.6866	12134	
2134.0162	65974	
2134.3495	150141	
2134.5171	3106	
2134.6836	203488	
2134.8518	4303	
2135.0174	219014	
2135.1858	4991	
2135.3516	173211	
2135.5210	3657	
2135.6853	126230	
2135.8528	2704	
2136.0194	75123	
2136.1874	2077	
2136.3536	43733	
2136.6890	22758	
2137.0250	11649	
2137.3609	7239	
2137.6965	4493	
2138.0308	2925	
2138.7769	3035	
2139.0257	2104	
2139.1105	3575	
2139.3540	4486	
2139.4440	3800	
2139.6845	7241	
2139.7769	3007	
2140.0170	9406	
2140.1103	2449	
2140.3495	9802	
2140.6833	8227	
2141.0168	6768	
2141.3506	6525	
2141.6854	8146	
2141.8614	2683	
2142.0211	9451	
2142.1961	3329	
2142.3551	8808	
2142.5297	2463	
2142.6890	7057	
2143.0231	4850	
2143.3603	3276	
2143.6984	2926	
2144.0310	3773	
2144.1919	2567	
2144.3632	5543	
2144.5265	4483	
2144.6963	6555	
2144.8606	4407	
2145.0296	5155	
2145.1942	3064	
2145.3624	3577	
2145.6963	2415	
2146.6929	2652	
2147.0258	4442	
2147.3592	5741	
2147.6936	5917	
2148.0316	7239	
2148.3700	10828	
2148.7054	16497	
2149.0394	18492	
2149.3735	18441	
2149.7070	14745	
2150.0413	10093	
2150.3747	6221	
2150.7083	3843	
2151.0456	2801	
2151.3830	3061	
2151.5372	2676	
2151.7141	3944	
2151.8708	3445	
2152.0486	3885	
2152.2052	2961	
2152.3788	4202	
2152.7055	7683	
2153.0370	13332	
2153.3667	73625	
2153.7005	159196	
2153.8698	2829	
2154.0344	228658	
2154.2037	4734	
2154.3683	226253	
2154.5367	4600	
2154.7023	196539	
2154.8710	4056	
2155.0362	135642	
2155.2048	2680	
2155.3702	87080	
2155.5394	2384	
2155.7042	47622	
2155.8698	2127	
2156.0396	26545	
2156.3752	13998	
2156.7109	8313	
2157.0464	5155	
2157.3813	3380	
2157.7140	2318	
2158.1276	2477	
2158.3751	2744	
2158.4602	2866	
2158.7057	5132	
2158.7946	3086	
2159.0358	8813	
2159.1271	2622	
2159.3681	11283	
2159.7011	11287	
2160.0335	9794	
2160.3667	7831	
2160.6994	8069	
2161.0346	8913	
2161.2132	2588	
2161.3690	10892	
2161.5464	3237	
2161.7035	10582	
2161.8805	2534	
2162.0378	8339	
2162.3719	5511	
2162.7081	4041	
2163.0471	3421	
2163.3830	4095	
2163.5437	2340	
2163.7150	5295	
2163.8773	3903	
2164.0478	6055	
2164.2111	3707	
2164.3809	5334	
2164.5450	2748	
2164.7139	3656	
2165.0457	2553	
2166.0418	2795	
2166.3747	4686	
2166.7084	6384	
2167.0433	6642	
2167.3808	7435	
2167.7197	11270	
2168.0555	16613	
2168.3904	18758	
2168.7240	18605	
2169.0578	14668	
2169.3914	10498	
2169.7251	6578	
2170.0586	4261	
2170.3948	2877	
2170.7338	2856	
2170.8872	2160	
2171.0670	3130	
2171.2211	2652	
2171.4007	3393	
2171.5557	2513	
2171.7302	3997	
2172.0557	7921	
2172.3876	13349	
2172.7179	70536	
2173.0512	159642	
2173.2204	2429	
2173.3852	216135	
2173.5531	3547	
2173.7193	238477	
2173.8884	3782	
2174.0530	192575	
2174.2206	3064	
2174.3871	135299	
2174.5548	2590	
2174.7208	89444	
2174.8857	2129	
2175.0552	48479	
2175.3896	26479	
2175.7253	14487	
2176.0617	8891	
2176.3979	5222	
2176.7295	3334	
2177.0617	2390	
2177.3915	2013	
2177.7241	2700	
2178.0545	5345	
2178.3867	8671	
2178.7185	11123	
2179.0516	11743	
2179.3846	10416	
2179.7175	8564	
2180.0496	8616	
2180.3834	10315	
2180.7170	11560	
2180.8970	2172	
2181.0517	10394	
2181.3857	8883	
2181.7201	6180	
2182.0570	4550	
2182.3962	3560	
2182.7337	4110	
2183.0674	4566	
2183.2282	2505	
2183.3997	5037	
2183.5620	2505	
2183.7326	4447	
2184.0651	3101	
2184.3953	2324	
2185.3881	2853	
2185.7231	4890	
2186.0554	5772	
2186.3906	6601	
2186.7293	7145	
2187.0698	10802	
2187.4059	14007	
2187.7404	16494	
2188.0745	16554	
2188.4085	13211	
2188.7416	9603	
2189.0752	5958	
2189.4089	3908	
2189.7449	2451	
2190.0839	2351	
2190.4238	2561	
2190.7573	2408	
2191.0811	3140	
2191.4063	7421	
2191.7384	13113	
2192.0684	63728	
2192.4022	145450	
2192.7361	206145	
2192.9064	2303	
2193.0698	214492	
2193.2376	2488	
2193.4040	176523	
2193.5731	2280	
2193.7377	132095	
2193.9034	2095	
2194.0715	79797	
2194.4059	46721	
2194.7405	25424	
2195.0758	13876	
2195.4113	8531	
2195.7478	5002	
2196.0803	3135	
2196.4091	2274	
2196.6900	2293	
2197.0255	2321	
2197.0706	2400	
2197.4025	4847	
2197.7354	8031	
2198.0684	10239	
2198.4018	11139	
2198.7350	10066	
2199.0679	8486	
2199.4001	8725	
2199.7325	10525	
2200.0666	11662	
2200.4006	12115	
2200.7348	9376	
2201.0692	6873	
2201.4057	4934	
2201.7457	3755	
2202.0828	3707	
2202.4174	3785	
2202.7513	3809	
2203.0835	3229	
2203.4144	2575	
2203.7449	2005	
2204.7336	2735	
2205.0691	4564	
2205.4037	5881	
2205.7379	6281	
2206.0767	7199	
2206.4177	9035	
2206.7560	12429	
2207.0901	13810	
2207.4246	12805	
2207.7587	10680	
2208.0915	7397	
2208.4249	4985	
2208.7588	3401	
2209.0944	2188	
2210.0368	2366	
2210.3734	2399	
2210.4272	2660	
2210.7557	6514	
2211.0891	12368	
2211.4196	58296	
2211.7530	129190	
2212.0869	180964	
2212.4209	200013	
2212.7547	167942	
2213.0884	114560	
2213.4226	76971	
2213.7564	44103	
2214.0911	23087	
2214.4266	13245	
2214.7619	7371	
2215.0974	4862	
2215.4305	3056	
2215.7039	2725	
2216.0363	3468	
2216.3716	3775	
2216.7474	4293	
2217.0841	7481	
2217.4182	9454	
2217.7517	10475	
2218.0855	9826	
2218.4181	8383	
2218.7501	9153	
2219.0828	12134	
2219.4160	14148	
2219.7499	14268	
2220.0846	10745	
2220.4182	8250	
2220.7535	5784	
2221.0922	4167	
2221.4303	3461	
2221.7664	3222	
2222.1008	2954	
2222.4321	2489	
2222.7619	2130	
2224.0801	3040	
2224.4156	5000	
2224.7509	6571	
2225.0852	6936	
2225.4226	7071	
2225.7658	8662	
2226.1041	10237	
2226.4397	11751	
2226.7740	10617	
2227.1071	8588	
2227.4402	6167	
2227.7736	4477	
2228.1050	2741	
2229.0533	2077	
2229.3859	2785	
2229.7221	2927	
2230.1043	6131	
2230.4398	12312	
2230.7704	51627	
2231.1039	117724	
2231.4377	163121	
2231.7716	173952	
2232.1057	155053	
2232.4392	112930	
2232.7730	68671	
2233.1075	40668	
2233.4418	22975	
2233.7765	13162	
2234.1127	7420	
2234.4458	4496	
2234.7290	2553	
2234.7781	2921	
2235.0531	3586	
2235.3856	5005	
2235.7210	5185	
2236.0627	4514	
2236.4313	6900	
2236.7672	9094	
2237.1014	9678	
2237.4358	9639	
2237.7685	8555	
2238.1001	9994	
2238.4330	13102	
2238.7661	15915	
2239.1003	16722	
2239.4337	13672	
2239.7673	10335	
2240.1027	6651	
2240.4377	4719	
2240.7759	3617	
2241.1143	2885	
2241.4469	2477	
2241.7788	2198	
2243.4289	3454	
2243.7645	5828	
2244.0980	7995	
2244.4323	8477	
2244.7686	8001	
2245.1098	7667	
2245.4517	9405	
2245.7869	9187	
2246.1212	8286	
2246.4554	7140	
2246.7871	5099	
2247.1198	3461	
2247.4495	2229	
2248.4015	2295	
2248.7352	3154	
2249.0718	3294	
2249.4528	5670	
2249.7898	11632	
2250.1210	46896	
2250.4549	107408	
2250.7886	154886	
2251.1225	161197	
2251.4565	137936	
2251.7901	103826	
2252.1238	66700	
2252.4577	37609	
2252.7919	20753	
2253.1272	12068	
2253.4614	6762	
2253.7951	4194	
2254.0772	3055	
2254.4032	5149	
2254.7365	6691	
2255.0701	7187	
2255.4079	6685	
2255.7751	6442	
2256.1159	8827	
2256.4513	9228	
2256.7845	9244	
2257.1188	8232	
2257.4501	10074	
2257.7830	14951	
2258.1168	17297	
2258.4500	17807	
2258.7842	15588	
2259.1173	11384	
2259.4512	7964	
2259.7864	4670	
2260.1220	3463	
2260.4590	2688	
2262.7767	4003	
2263.1125	6609	
2263.4467	8844	
2263.7808	9391	
2264.1149	8544	
2264.4546	7614	
2264.7952	6903	
2265.1328	7080	
2265.4667	6704	
2265.7986	5244	
2266.1308	3981	
2266.4609	2594	
2267.7507	2723	
2268.0841	3275	
2268.4212	3853	
2268.8003	5223	
2269.1394	10049	
2269.4718	40300	
2269.8055	89720	
2270.1394	128070	
2270.4733	135504	
2270.8071	118606	
2271.1410	87613	
2271.4746	57076	
2271.8080	35099	
2272.1421	18007	
2272.4764	10259	
2272.8113	6141	
2273.1429	3588	
2273.4220	4071	
2273.7533	6661	
2274.0865	9089	
2274.4209	9736	
2274.7566	9134	
2275.0975	7384	
2275.4622	7390	
2275.7998	8591	
2276.1337	8238	
2276.4678	7442	
2276.8000	8946	
2277.1330	13561	
2277.4667	15681	
2277.8003	15869	
2278.1347	14205	
2278.4671	10612	
2278.8012	7218	
2279.1346	4501	
2279.4687	3131	
2281.0882	2249	
2281.4242	2233	
2281.7650	2152	
2282.1214	3869	
2282.4605	6617	
2282.7955	8223	
2283.1288	9025	
2283.4633	8656	
2283.7975	7249	
2284.1344	6027	
2284.4717	5188	
2284.8068	4689	
2285.1381	3886	
2285.4692	2939	
2285.8000	2174	
2286.7651	2118	
2287.0975	2977	
2287.4330	4110	
2287.7687	4206	
2288.1095	4110	
2288.4879	7040	
2288.8221	27661	
2289.1565	61658	
2289.4902	92149	
2289.8243	98941	
2290.1580	89122	
2290.4916	64912	
2290.8247	42220	
2291.1585	25753	
2291.4922	13213	
2291.8257	7455	
2292.1593	4512	
2292.4827	2383	
2292.7714	5097	
2293.1033	9248	
2293.4371	13587	
2293.7713	14121	
2294.1055	12864	
2294.4422	9998	
2294.7812	7781	
2295.1409	5975	
2295.4792	6224	
2295.8152	5275	
2296.1485	6413	
2296.4831	9581	
2296.8165	11886	
2297.1508	12035	
2297.4838	10229	
2297.8173	7552	
2298.1497	5159	
2298.4818	3630	
2298.8094	2202	
2299.1060	2005	
2299.4353	2102	
2299.7660	2050	
2300.1004	2472	
2300.4329	3365	
2300.7687	3941	
2301.1030	3995	
2301.4501	3163	
2301.8053	5285	
2302.1427	6750	
2302.4769	7294	
2302.8098	6736	
2303.1407	5909	
2303.4703	5266	
2303.7985	4800	
2304.1327	3972	
2304.4660	3039	
2304.8020	2376	
2306.1075	2528	
2306.4431	3517	
2306.7799	4646	
2307.1162	4783	
2307.4529	4845	
2307.7933	3891	
2307.8235	3621	
2308.1724	16568	
2308.5066	36182	
2308.8409	55322	
2309.1748	56577	
2309.5083	49625	
2309.8421	36616	
2310.1752	24061	
2310.5086	14774	
2310.8407	8518	
2311.1735	4702	
2311.5006	2883	
2311.7924	2728	
2312.1210	6303	
2312.4547	12727	
2312.7881	17240	
2313.1220	19908	
2313.4556	17352	
2313.7902	13779	
2314.1255	9805	
2314.4614	7045	
2314.8015	4488	
2315.1499	3213	
2315.4927	3908	
2315.8305	5199	
2316.1652	5826	
2316.4994	6244	
2316.8323	4952	
2317.1648	4039	
2317.4941	2818	
2317.8157	2051	
2318.1228	2207	
2318.4508	2366	
2318.7832	2457	
2319.1157	2471	
2319.4491	3105	
2319.7827	4445	
2320.1168	5427	
2320.4515	5688	
2320.7873	5222	
2321.1318	3800	
2321.4836	4036	
2321.8214	4441	
2322.1532	4090	
2322.4818	4246	
2322.8097	4130	
2323.1410	3926	
2323.4725	3327	
2323.8046	2673	
2325.1190	2138	
2325.4523	3072	
2325.7895	3943	
2326.1267	4629	
2326.4635	4941	
2326.7985	4461	
2327.1331	4109	
2327.5196	6731	
2327.8567	15102	
2328.1910	21504	
2328.5248	24482	
2328.8586	20902	
2329.1917	16568	
2329.5239	10630	
2329.8554	7253	
2330.1859	4151	
2330.5134	2554	
2330.8151	2036	
2331.1402	2679	
2331.4722	6718	
2331.8052	14140	
2332.1394	20593	
2332.4726	22654	
2332.8065	20832	
2333.1399	16661	
2333.4742	12026	
2333.8080	7949	
2334.1427	5212	
2334.4764	3456	
2334.8141	2422	
2335.5057	2055	
2337.1418	2115	
2337.4718	2316	
2337.8010	2509	
2338.1323	2416	
2338.4656	2603	
2338.7983	3194	
2339.1321	4779	
2339.4668	5535	
2339.8001	6135	
2340.1356	5228	
2340.4704	4166	
2340.8099	3232	
2341.1524	2566	
2341.4899	2525	
2341.8230	2730	
2342.1550	2827	
2342.4859	2775	
2342.8196	2444	
2344.4640	2470	
2344.8001	3258	
2345.1350	3787	
2345.4714	3721	
2345.8077	3804	
2346.1432	3331	
2346.4772	3179	
2346.8108	2637	
2347.1483	2404	
2347.2014	3448	
2347.5386	4684	
2347.8729	5595	
2348.2055	4895	
2348.5363	4504	
2348.8635	3614	
2349.1942	3034	
2349.5225	2385	
2350.4902	2167	
2350.8221	5659	
2351.1558	12478	
2351.4897	17964	
2351.8235	20839	
2352.1570	18462	
2352.4906	15520	
2352.8235	10185	
2353.1568	7161	
2353.4896	4257	
2353.8225	2876	
2356.8162	2055	
2357.1491	2233	
2357.4812	2344	
2357.8135	2225	
2358.1479	2754	
2358.4818	3679	
2358.8166	4604	
2359.1502	4976	
2359.4845	4392	
2359.8179	3453	
2360.1532	2591	
2363.8088	2076	
2364.1448	2671	
2364.4807	3108	
2364.8159	2976	
2365.1515	2717	
2365.4852	2407	
2365.8163	2145	
2368.5338	2036	
2370.1715	3723	
2370.5061	7392	
2370.8403	11117	
2371.1739	12137	
2371.5077	12113	
2371.8408	9357	
2372.1741	6875	
2372.5060	4399	
2372.8385	2858	
2374.7907	2192	
2375.1231	2445	
2375.4573	2180	
2378.1644	2497	
2378.4990	2450	
2378.8317	2317	
2389.8548	3401	
2390.1893	4908	
2390.5244	5632	
2390.8569	5184	
2391.1907	4246	
2391.5214	3120	
2391.8520	2070	
2393.8048	2002	
2394.1394	2760	
2394.4714	2816	
2394.8049	2786	
2395.1390	2625	
2395.4727	2116	
2413.4886	2495	
2413.8226	2883	
2414.1557	2768	
2414.4893	2319	
2433.1733	2078
